ID_Sujeto,Origen_Form,expectativa_sin_num,expectativa_grande_num,expectativa_pequeña_num,Expectativa_Activa,Promedio_Gap_0,Promedio_Gap_1000,Promedio_Gap_1200,Promedio_Gap_2000,Promedio_Gap_2400,Promedio_CON,Promedio_SIN,Promedio_DIST,Delta_Mantiene,Delta_base,Genero,politica,nivel_se,SDO_Score,NDC_Score
Suj_094,Respuestas de formulario 8,-1,-1,-1,-1,1.0,0.6666666666666666,0.0,0.0,0.0,0.5,0.5,0.3333333333333333,0.0,0.16666666666666669,Mujer,4,6,2.6,4.666666666666667
Suj_096,Respuestas de formulario 8,0,-1,-1,-1,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.0,0.6666666666666666,0.6666666666666666,0.5,0.16666666666666666,0.16666666666666663,0.33333333333333337,Hombre,4,5,3.3,4.5
Suj_098,Respuestas de formulario 8,0,1,1,1,0.5,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,0.5,0.5,0.5,0.0,0.0,Mujer,5,6,1.5,4.833333333333333
Suj_099,Respuestas de formulario 8,1,-1,-1,-1,1.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,Mujer,7,7,1.6,3.0
Suj_103,Respuestas de formulario 8,-1,-1,1,1,0.5,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,Mujer,4,5,1.3,5.0
Suj_104,Respuestas de formulario 9,1,0,-1,-1,0.5,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.0,0.8333333333333334,0.5,0.0,0.33333333333333337,0.5,Mujer,4,8,1.5,4.0
Suj_107,Respuestas de formulario 9,0,0,0,0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.8333333333333334,0.6666666666666666,0.5,0.16666666666666674,0.16666666666666663,Mujer,4,7,1.3,3.1666666666666665
Suj_109,Respuestas de formulario 9,0,0,0,0,1.0,0.3333333333333333,1.0,0.0,0.0,0.5,0.5,0.6666666666666666,0.0,-0.16666666666666663,Mujer,4,6,2.7,4.666666666666667
Suj_110,Respuestas de formulario 9,0,1,1,1,0.16666666666666666,0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666,0.16666666666666666,0.5,0.5,-0.33333333333333337,0.0,Mujer,2,5,2.0,5.0
Suj_111,Respuestas de formulario 9,0,0,0,0,0.6666666666666666,0.0,0.6666666666666666,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.5,0.0,-0.16666666666666669,Mujer,4,5,2.3,5.5
