ID_Sujeto,Origen_Form,Identidad,Bloque,Dilema,Categoria,Respuesta,Mantiene,SDO_Score,NDC_Score,expectativa_sin,expectativa_grande,expectativa_pequeña,Genero,politica,nivel_se,Gap_Size,expectativa_sin_num,expectativa_grande_num,expectativa_pequeña_num,Expectativa_Activa,Promedio_Gap_0,Promedio_Gap_1000,Promedio_Gap_1200,Promedio_Gap_2000,Promedio_Gap_2400,Promedio_CON,Promedio_SIN,Promedio_DIST,Delta_Mantiene,Delta_base,Tratamiento
Suj_068,Respuestas de formulario 6,AEF,Bloque_7,Bloque_SIN,1,Opción 2,0,2.3,4.0,1,-1,1,Hombre,5,7,2400,1,-1,1,-1,1.0,0.3333333333333333,0.6666666666666666,0.0,0.0,0.5,0.5,0.5,0.0,0.0,SIN
Suj_069,Respuestas de formulario 6,AEF,Bloque_7,Bloque_SIN,1,Opción 2,0,2.2,5.166666666666667,1,-1,0,Mujer,4,4,2400,1,-1,0,-1,0.5,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.5,0.3333333333333333,0.1666666666666666,0.1666666666666666,SIN
Suj_072,Respuestas de formulario 6,AEF,Bloque_7,Bloque_SIN,1,Opción 2,0,1.7,5.166666666666667,0,-1,-1,Hombre,2,4,2400,0,-1,-1,-1,1.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,SIN
Suj_073,Respuestas de formulario 6,AEF,Bloque_7,Bloque_SIN,1,Opción 2,0,1.2,3.6666666666666665,0,0,0,Mujer,2,5,2400,0,0,0,0,1.0,0.3333333333333333,0.0,0.0,0.0,0.5,0.3333333333333333,0.3333333333333333,0.1666666666666666,0.0,SIN
Suj_074,Respuestas de formulario 6,AEF,Bloque_7,Bloque_SIN,1,Opción 2,0,1.7,3.6666666666666665,0,0,-1,Mujer,4,6,2400,0,0,-1,0,0.5,0.0,0.0,0.3333333333333333,0.0,0.1666666666666666,0.1666666666666666,0.3333333333333333,0.0,-0.1666666666666666,SIN
Suj_075,Respuestas de formulario 6,AEF,Bloque_7,Bloque_SIN,1,Opción 2,0,3.6,4.833333333333333,-1,-1,-1,Mujer,7,5,2400,-1,-1,-1,-1,1.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,SIN
Suj_077,Respuestas de formulario 7,ALM,Bloque_9,Bloque_SIN,1,Opción 2,0,2.1,4.0,1,1,0,Mujer,4,9,1000,1,1,0,0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,-0.3333333333333333,SIN
Suj_078,Respuestas de formulario 7,ALM,Bloque_9,Bloque_SIN,1,Opción 2,0,1.8,5.166666666666667,-1,-1,-1,Mujer,3,7,1000,-1,-1,-1,-1,0.8333333333333334,0.0,0.0,0.0,0.0,0.3333333333333333,0.1666666666666666,0.3333333333333333,0.1666666666666666,-0.1666666666666666,SIN
Suj_079,Respuestas de formulario 7,ALM,Bloque_9,Bloque_SIN,1,Opción 1,1,2.4,5.166666666666667,0,0,0,Mujer,4,7,1000,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,SIN
Suj_081,Respuestas de formulario 7,ALM,Bloque_9,Bloque_SIN,1,Opción 1,1,1.0,4.333333333333333,1,0,-1,Mujer,4,7,1000,1,0,-1,-1,0.5,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.3333333333333333,-0.3333333333333333,0.3333333333333333,SIN
Suj_082,Respuestas de formulario 7,ALM,Bloque_9,Bloque_SIN,1,Opción 2,0,1.9,5.0,1,-1,-1,Mujer,4,4,1000,1,-1,-1,-1,0.1666666666666666,0.0,0.3333333333333333,0.0,0.0,0.1666666666666666,0.1666666666666666,0.0,0.0,0.1666666666666666,SIN
Suj_083,Respuestas de formulario 7,ALM,Bloque_9,Bloque_SIN,1,Opción 2,0,1.0,3.6666666666666665,1,-1,-1,Hombre,1,4,1000,1,-1,-1,-1,1.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,SIN
Suj_087,Respuestas de formulario 7,ALM,Bloque_9,Bloque_SIN,1,Opción 1,1,1.2,4.333333333333333,1,-1,-1,Mujer,2,5,1000,1,-1,-1,-1,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,0.3333333333333333,0.5,0.1666666666666666,-0.1666666666666666,0.3333333333333333,SIN
Suj_089,Respuestas de formulario 8,AQS,Bloque_9,Bloque_SIN,1,Opción 2,0,3.1,5.333333333333333,0,-1,-1,Mujer,5,6,1000,0,-1,-1,-1,0.8333333333333334,0.0,0.0,0.0,0.0,0.3333333333333333,0.1666666666666666,0.3333333333333333,0.1666666666666666,-0.1666666666666666,SIN
Suj_090,Respuestas de formulario 8,AQS,Bloque_9,Bloque_SIN,1,Opción 1,1,2.4,4.666666666666667,0,0,-1,Hombre,5,6,1000,0,0,-1,-1,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.1666666666666666,0.6666666666666666,0.6666666666666666,-0.5,0.0,SIN
Suj_091,Respuestas de formulario 8,AQS,Bloque_9,Bloque_SIN,1,Opción 1,1,2.0,4.166666666666667,-1,-1,-1,Mujer,3,4,1000,-1,-1,-1,-1,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.5,0.3333333333333333,0.3333333333333333,0.1666666666666666,0.0,SIN
Suj_094,Respuestas de formulario 8,AQS,Bloque_9,Bloque_SIN,1,Opción 1,1,2.6,4.666666666666667,-1,-1,-1,Mujer,4,6,1000,-1,-1,-1,-1,1.0,0.6666666666666666,0.0,0.0,0.0,0.5,0.5,0.3333333333333333,0.0,0.1666666666666666,SIN
Suj_096,Respuestas de formulario 8,AQS,Bloque_9,Bloque_SIN,1,Opción 1,1,3.3,4.5,0,-1,-1,Hombre,4,5,1000,0,-1,-1,-1,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.0,0.6666666666666666,0.6666666666666666,0.5,0.1666666666666666,0.1666666666666666,0.3333333333333333,SIN
Suj_098,Respuestas de formulario 8,AQS,Bloque_9,Bloque_SIN,1,Opción 1,1,1.5,4.833333333333333,0,1,1,Mujer,5,6,1000,0,1,1,1,0.5,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,0.5,0.5,0.5,0.0,0.0,SIN
Suj_099,Respuestas de formulario 8,AQS,Bloque_9,Bloque_SIN,1,Opción 2,0,1.6,3.0,1,-1,-1,Mujer,7,7,1000,1,-1,-1,-1,1.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,SIN
Suj_103,Respuestas de formulario 8,AQS,Bloque_9,Bloque_SIN,1,Opción 2,0,1.3,5.0,-1,-1,1,Mujer,4,5,1000,-1,-1,1,1,0.5,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.0,SIN
Suj_104,Respuestas de formulario 9,ABC,Bloque_11,Dist,1,Opción 2,0,1.5,4.0,1,0,-1,Mujer,4,8,1200,1,0,-1,-1,0.5,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.0,0.8333333333333334,0.5,0.0,0.3333333333333333,0.5,DIST
Suj_107,Respuestas de formulario 9,ABC,Bloque_11,Dist,1,Opción 2,0,1.3,3.1666666666666665,0,0,0,Mujer,4,7,1200,0,0,0,0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.8333333333333334,0.6666666666666666,0.5,0.1666666666666667,0.1666666666666666,DIST
Suj_109,Respuestas de formulario 9,ABC,Bloque_11,Dist,1,Opción 1,1,2.7,4.666666666666667,0,0,0,Mujer,4,6,1200,0,0,0,0,1.0,0.3333333333333333,1.0,0.0,0.0,0.5,0.5,0.6666666666666666,0.0,-0.1666666666666666,DIST
Suj_110,Respuestas de formulario 9,ABC,Bloque_11,Dist,1,Opción 2,0,2.0,5.0,0,1,1,Mujer,2,5,1200,0,1,1,1,0.1666666666666666,0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666,0.1666666666666666,0.5,0.5,-0.3333333333333333,0.0,DIST
Suj_111,Respuestas de formulario 9,ABC,Bloque_11,Dist,1,Opción 1,1,2.3,5.5,0,0,0,Mujer,4,5,1200,0,0,0,0,0.6666666666666666,0.0,0.6666666666666666,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.5,0.0,-0.1666666666666666,DIST
Suj_112,Respuestas de formulario 9,ABC,Bloque_11,Dist,1,Opción 2,0,3.7,5.666666666666667,-1,-1,-1,Hombre,5,6,1200,-1,-1,-1,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DIST
Suj_113,Respuestas de formulario 9,ABC,Bloque_11,Dist,1,Opción 2,0,2.9,3.6666666666666665,0,1,-1,Mujer,5,6,1200,0,1,-1,-1,1.0,1.0,0.3333333333333333,1.0,0.0,0.6666666666666666,0.8333333333333334,0.6666666666666666,-0.1666666666666667,0.1666666666666667,DIST
Suj_114,Respuestas de formulario 9,ABC,Bloque_11,Dist,1,Opción 2,0,3.2,2.1666666666666665,0,-1,-1,Hombre,5,7,1200,0,-1,-1,-1,1.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,DIST
Suj_116,Respuestas de formulario 10,AEF,Bloque_11,Dist,1,Opción 2,0,2.1,4.666666666666667,0,-1,0,Mujer,2,6,1200,0,-1,0,0,1.0,0.6666666666666666,0.0,0.0,0.0,0.5,0.5,0.3333333333333333,0.0,0.1666666666666666,DIST
Suj_117,Respuestas de formulario 10,AEF,Bloque_11,Dist,1,Opción 2,0,1.4,5.333333333333333,-1,-1,-1,Hombre,1,7,1200,-1,-1,-1,-1,0.1666666666666666,0.0,0.0,0.0,0.0,0.0,0.1666666666666666,0.0,-0.1666666666666666,0.1666666666666666,DIST
Suj_118,Respuestas de formulario 10,AEF,Bloque_11,Dist,1,Opción 1,1,2.4,5.166666666666667,1,1,1,Mujer,4,6,1200,1,1,1,1,1.0,1.0,1.0,1.0,0.6666666666666666,0.8333333333333334,1.0,1.0,-0.1666666666666666,0.0,DIST
